schwimmen,to swim
schreiben,to write
lesen,to read
sprechen,to talk
hören,to listen
sehen,to look
fühlen,to feel
denken,to think
wissen,to know
kennen,to know (be familiar)
glauben,to believe
hoffen,to hope
brauchen,to require
arbeiten,to labor
spielen,to perform
lernen,to study
bringen,to deliver
halten,to keep
tragen,to carry
ziehen,to pull
drücken,to push
öffnen,to unlock
schließen,to shut
beginnen,to start
enden,to finish
laufen,to jog
reisen,to travel
fahren,to ride
fliegen,to soar
bleiben,to remain
wechseln,to change
kaufen,to buy
verkaufen,to sell
bezahlen,to pay
kosten,to cost
verdienen,to earn
verlieren,to lose
gewinnen,to win
suchen,to search
finden,to discover
zeigen,to display
erklären,to explain
beschreiben,to describe
erzählen,to tell
reden,to converse
sprechen,to communicate
rufen,to call
schreien,to shout
flüstern,to whisper
fragen,to inquire
antworten,to reply
denken,to reflect
meinen,to mean
glauben,to trust
wissen,to be aware
kennen,to recognize
fühlen,to sense
sehen,to observe
hören,to perceive
riechen,to smell
schmecken,to taste
anfangen,to commence
aufhören,to stop
fortsetzen,to continue
beenden,to conclude
öffnen,to reveal
schließen,to conceal
bauen,to build
zerstören,to destroy
reparieren,to repair
entwickeln,to develop
gestalten,to design
malen,to paint
zeichnen,to draw
fotografieren,to photograph
filmen,to film
kochen,to cook
backen,to bake
braten,to fry
essen,to consume
trinken,to sip
schlafen,to rest
träumen,to dream
aufwachen,to wake up
einschlafen,to fall asleep
leben,to exist
sterben,to die
geboren,to be born
wachsen,to grow
altern,to age
heiraten,to marry
scheiden,to divorce
lieben,to adore
hassen,to hate
mögen,to enjoy
fühlen,to experience
denken,to ponder
glauben,to assume
hoffen,to wish
wünschen,to desire
brauchen,to demand
suchen,to look for
finden,to locate
verlieren,to misplace
gewinnen,to achieve
nehmen,to grab
geben,to donate
halten,to grasp
tragen,to wear
ziehen,to drag
drücken,to press
werfen,to throw
fangen,to catch
schlagen,to hit
treten,to kick
stoßen,to push
ziehen,to haul
laufen,to move
reisen,to journey
fahren,to travel
fliegen,to glide
bleiben,to persist
wechseln,to switch
kaufen,to purchase
verkaufen,to trade
bezahlen,to settle
kosten,to price
verdienen,to gain
verlieren,to mislay
gewinnen,to triumph
suchen,to seek
finden,to pinpoint
zeigen,to indicate
erklären,to clarify
beschreiben,to portray
erzählen,to narrate
reden,to chat
sprechen,to utter
rufen,to summon
schreien,to yell
flüstern,to murmur
fragen,to question
antworten,to respond
denken,to contemplate
meinen,to signify
glauben,to suppose
wissen,to comprehend
kennen,to be acquainted
fühlen,to perceive
sehen,to witness
hören,to detect
riechen,to sniff
schmecken,to savor
anfangen,to initiate
aufhören,to cease
fortsetzen,to resume
beenden,to terminate
öffnen,to expose
schließen,to cover
bauen,to construct
zerstören,to demolish
reparieren,to mend
entwickeln,to evolve
gestalten,to shape
malen,to depict
zeichnen,to sketch
fotografieren,to snapshot
filmen,to record
kochen,to prepare
backen,to roast
braten,to grill
essen,to devour
trinken,to gulp
schlafen,to slumber
träumen,to envision
aufwachen,to arise
einschlafen,to doze off
leben,to subsist
sterben,to perish
geboren,to originate
wachsen,to expand
altern,to mature
heiraten,to wed
scheiden,to separate
lieben,to cherish
hassen,to detest
mögen,to fancy
fühlen,to undergo
denken,to deliberate
glauben,to presume
hoffen,to anticipate
wünschen,to crave
brauchen,to necessitate
suchen,to explore
finden,to uncover
verlieren,to forfeit
gewinnen,to secure
nehmen,to seize
geben,to bestow
halten,to retain
tragen,to bear
ziehen,to yank
drücken,to compress
werfen,to hurl
fangen,to seize
schlagen,to strike
treten,to step
stoßen,to shove
ziehen,to tow
arbeiten,to toil
spielen,to amuse
lernen,to practice
verstehen,to grasp
vergessen,to omit
erinnern,to recall
lieben,to admire
mögen,to favor
sehen,to perceive
zeigen,to exhibit
folgen,to pursue
sitzen,to perch
liegen,to recline
stehen,to upright
laufen,to stroll
rennen,to sprint
springen,to leap
fallen,to tumble
steigen,to ascend
schwimmen,to float
schreiben,to compose
lesen,to peruse
sprechen,to pronounce
hören,to heed
sehen,to regard
fühlen,to undergo
denken,to muse
wissen,to discern
kennen,to acknowledge
glauben,to reckon
hoffen,to aspire
brauchen,to oblige
arbeiten,to exert
spielen,to entertain
lernen,to rehearse
bringen,to transport
halten,to clutch
tragen,to outfit
ziehen,to extract
drücken,to squeeze
öffnen,to disclose
schließen,to seal
beginnen,to originate
enden,to halt
